Mes,Año,Observado,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-CM4,GFDL-CM4_gr2,GFDL-ESM4,HadGEM3-GC31-LL,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-MM
1,1979,19.55935484,20.46274255,19.62548077,20.39169687,20.03364868,20.15755089,19.86396151,20.32178684,19.54253378,19.81683263,19.85845756,19.43714973,20.34095805,19.39694259,19.91393868,20.15982562,19.62772929,19.75465894,20.09454864,19.43696589,19.19334206,20.09185975,20.03688695,19.39717869,20.1552078,19.63629952,19.67014732,19.3633068,20.11005923,19.50867547
2,1979,20.01285714,20.07629458,19.10642634,19.96654862,20.64922879,19.59805209,18.67105665,19.22315923,19.1461553,18.43846361,20.14635221,19.19997979,19.73993569,19.89238745,19.79678453,19.65947984,19.84582848,19.73437815,19.74136593,19.59984475,19.58814578,20.07603153,19.2783875,18.71330965,20.50872319,19.95584269,19.15099645,18.88390915,20.24361342,20.01384784
3,1979,19.08290323,18.94442884,18.38200181,19.28970498,18.32959796,19.50529124,17.44105849,18.81500398,18.41907727,18.10092662,17.64079366,17.99504652,18.91246601,18.68350399,18.87259639,18.57966884,19.04243909,18.10803051,19.93719669,18.69693143,18.8376626,19.53176237,18.79778444,18.33448811,18.36980885,19.00537932,19.0886663,18.21681442,19.04339674,19.78449532
4,1979,16.78966667,17.51218132,17.07786176,17.16025429,16.71655542,16.4005996,15.81566166,17.05540195,17.55135084,15.63083287,16.67185152,16.4421337,17.26603945,16.70377544,17.22556952,17.10529924,16.95707568,16.3082109,16.84961726,17.11570823,16.04227973,16.72240941,16.62875902,16.68481938,17.36732836,17.24691468,16.92242242,16.63445821,17.25865548,17.65870371
5,1979,15.5616129,15.62603272,14.96328491,15.75071119,16.34865922,15.08990491,14.11362557,14.19201319,15.7473481,14.73377415,14.9849115,14.19773425,14.62480705,14.5938946,15.98293495,16.13134087,15.3856578,16.07806716,15.17528998,15.26626293,15.4820903,14.96003416,14.95086416,15.51512116,15.39996931,15.08150601,16.03660947,15.32187104,14.90252884,16.26010258
6,1979,13.506,14.21447899,12.9760652,13.17990769,12.79832489,13.03119434,12.66369594,14.12010133,13.56094838,12.62206876,11.71483193,14.48119295,11.97308183,13.08783624,12.76118192,12.65952479,12.92748809,12.68965561,13.26334543,13.70648342,13.27076991,14.16762811,15.24366171,14.75071655,13.02701466,13.27778559,15.1243347,12.46047492,14.28375688,14.56667124
7,1979,14.2316129,12.84672408,12.46848954,12.52495612,13.26249008,12.64293138,12.27689813,13.21602255,14.45209397,13.63187175,11.838605,11.02740339,13.97763857,12.50625361,14.59771399,14.19570342,12.96074503,13.69924941,14.53953129,13.12671706,11.87630349,13.47334284,12.38931628,15.05173709,13.95828348,11.96335831,14.98493684,14.17780098,11.48688955,14.5751985
8,1979,15.34064516,14.44826167,14.47571944,15.50456499,13.5369483,14.15711335,14.90933634,13.39777295,14.09833268,13.56295661,13.05238546,12.97214853,13.91120683,13.23920322,15.52651518,15.46070071,12.54406923,12.29746658,12.51665976,14.05207788,14.09994751,12.68942,12.78764632,14.5059437,14.32307809,12.63208467,15.56622403,13.33352461,13.4154282,14.48774957
9,1979,14.23266667,14.89693962,14.2104201,14.26809289,14.62659487,15.56152757,13.99856677,15.55265559,15.29755145,14.16113289,14.91520677,13.78828769,15.55532109,13.90050067,15.35115005,15.40638975,14.89770804,15.55427275,14.97323708,15.70283165,16.30347684,16.20471931,14.61372515,15.81984435,15.81077987,15.42084145,15.07844963,15.90217776,14.85965513,17.00181566
10,1979,16.34258065,15.91045937,15.3658887,15.93364502,14.94483821,17.81578866,18.33825865,16.90454172,16.1680675,16.04177345,15.64761786,15.38423581,16.07476342,16.62812841,15.96472813,15.68277061,15.34763664,15.59908732,16.97264843,16.25775562,15.27359146,15.80344,15.86235618,16.28019519,16.84582421,16.45940884,16.25017598,14.93225481,16.38302639,17.37852298
11,1979,17.27766667,17.20251449,18.19914372,17.48624711,18.46234187,18.24517425,18.24240833,18.07601123,17.81955648,17.30063606,17.29463917,16.5317846,17.22522842,16.63749779,18.08018384,17.87544016,17.18489856,17.60156217,18.25360725,17.34335018,16.82176383,17.46234344,18.43869201,17.46718062,18.13136934,16.87776714,17.29553135,16.5976605,17.36476431,18.58049822
12,1979,18.56935484,18.33315532,18.23557462,18.44659146,19.77765429,18.78577859,18.90968409,18.48317865,19.83007065,19.24916524,18.27344542,18.44880172,17.88265059,17.6267063,19.92643475,19.80874541,18.6693972,18.7020488,18.58239978,18.92272409,19.64611793,20.41887241,18.89885361,18.6290365,19.1902168,18.61975118,19.59463569,18.41415343,18.90025325,18.48942803
1,1980,19.86290323,19.76963586,18.83087355,19.01173554,20.77944697,19.62498799,19.28280365,20.18268262,19.78473412,19.7597734,19.82499581,19.38999178,18.88109643,19.60354423,20.52920922,20.56963745,18.75964738,20.45688671,19.95246373,19.8211647,20.52958401,20.16280825,19.48086611,20.11956172,19.74978874,19.38901852,20.30114281,19.53381439,19.40824252,19.12920267
2,1980,20.14655172,19.7080275,19.03888695,18.90038191,20.38601556,19.24704868,19.25221184,19.40063303,19.72704951,19.85552184,19.20250141,19.47767886,18.90807845,19.90732959,19.9257348,19.91411734,19.45606802,20.0761477,19.28589383,18.98767022,19.32594607,20.09665339,20.03370812,19.14511173,20.29445394,19.68125954,20.2429705,19.09551928,19.19404292,19.31770084
3,1980,20.03935484,18.36477676,19.18182654,18.63668603,18.306445,19.31760234,19.21662409,18.97021975,19.54706783,18.56657901,18.49576876,18.32711517,17.50108021,19.26283527,18.79486286,18.74147681,18.23901718,18.4294706,17.86609195,18.50721152,19.30513498,18.61186728,19.09709312,18.57060262,19.24470474,18.36011139,19.36318131,18.87287606,18.15026051,19.48308561
4,1980,17.256,15.99686778,16.26700423,15.5398173,17.18011461,17.29894984,17.19326202,16.30470259,17.53359701,16.87005528,16.7650111,16.41216808,16.12538405,16.08739088,16.8783683,16.67497056,15.78876515,16.64813082,17.09972758,17.57373162,16.49408771,16.43655586,17.07845332,16.93127721,16.55753807,16.9985182,16.9095463,16.18953795,15.75227275,17.03635534
5,1980,15.47290323,14.73292138,15.64451212,14.28754406,14.78846606,14.29987355,16.53311252,14.87488456,14.73323018,16.01077939,15.27002474,14.42235885,14.20755231,14.78833349,15.10293437,14.98981989,15.15980213,14.79524325,15.39699597,15.57028037,16.34368571,15.82250812,15.35860774,15.6094743,15.84383182,14.92022414,15.19759199,14.8976736,14.68227667,14.47621348
6,1980,14.33133333,12.44982448,14.22791961,13.24003258,13.90281668,13.36204441,15.37924457,12.22820488,13.85506045,14.67055183,12.72745685,13.2024792,12.82203165,13.54104775,14.10727578,14.28437785,12.59916087,12.65081227,14.54389777,13.94764981,11.70152197,13.44530825,12.9842395,13.74696189,13.45259155,12.73351566,14.00878305,13.42835903,13.69100777,13.90266565
7,1980,13.57580645,11.90833453,12.71613565,13.29502171,13.33631081,13.85610622,12.04744136,12.51206788,12.79221651,10.72761797,13.08585532,13.34677959,13.27036886,13.91163221,13.66677951,13.58052106,12.47286164,13.17668085,12.90722417,13.27101467,13.91595277,15.22734718,13.4723304,11.88057194,13.39925245,12.75159436,13.00619187,11.2811753,13.18024941,14.13970914
8,1980,14.55096774,13.93811588,14.39918127,14.04697538,14.59636584,13.67415305,14.48193498,15.68566,13.81225126,15.51935877,15.28676776,13.05760949,12.81944303,14.78576845,13.86453127,13.57647354,13.28090732,14.50750223,13.96736644,13.96444255,14.06726325,15.38900789,14.45467399,13.39060618,14.72994086,13.86908254,15.23218853,14.35764895,13.23028846,14.67863536
9,1980,14.60066667,13.45816993,14.96436503,14.91930749,14.33769337,14.88429382,17.24103505,14.46638749,15.66640158,14.03381932,14.88719357,15.04967108,13.88967949,14.428381,15.1878641,15.09001392,14.83857487,14.90158488,15.24360515,14.95089672,15.6742429,15.85254897,15.19571725,15.07672491,15.92379608,15.70181854,14.34788454,14.89343432,16.0695632,16.51481609
10,1980,15.87774194,15.54660619,15.31817208,16.13822212,16.24197127,17.50732956,16.33695677,16.2706102,16.04111795,16.44110348,16.65938151,15.91507047,15.8338679,16.76361208,15.99422848,15.94735763,17.11504844,15.72819221,16.98919694,17.19317858,18.02721665,18.09483093,17.13493386,15.92080421,16.04969993,15.68398577,15.73152298,15.98170719,16.63631642,16.57241068
11,1980,16.74933333,17.16242017,17.50394262,17.14297305,17.47526219,17.91163825,17.33867263,17.07488631,17.8144087,16.88490424,17.80491971,17.74135707,17.28323147,16.60309792,16.50422052,16.58330318,16.83170229,16.07846847,18.542751,17.23333611,17.39114672,16.78263867,17.64311732,16.97277571,16.883847,17.56860237,17.53218698,17.4477687,17.9374744,17.45167388
12,1980,18.30516129,19.38245996,18.96677249,18.98792977,18.61982206,19.33139561,18.57456583,18.01908463,19.39464,19.84536201,18.97214116,19.71216154,18.84641491,18.55616605,17.80218988,18.15577057,18.77943722,18.30132154,18.8703671,18.3876096,19.1497006,18.13737055,19.12864286,18.99940404,18.3763783,18.45072376,18.56458544,19.24418186,19.56890485,18.83187005
1,1981,19.23258065,19.54326503,19.96837935,20.29070522,19.38230374,20.3659722,19.9399376,19.43782388,20.22316522,20.1834734,20.2556841,19.88929329,19.45745672,20.4153249,18.73158852,18.87550131,19.58357983,20.2163074,19.87421169,20.42325058,19.90570631,19.50821562,20.0126758,19.9175655,20.42166634,19.67089997,20.16121869,20.23952234,20.26208718,20.05804242
2,1981,20.39,19.28878905,19.22908433,19.52557159,17.98094998,20.02674457,20.28404533,19.98194762,19.62062762,20.31537752,19.23293547,19.40978373,18.94339864,19.19361302,18.69268849,18.98450103,19.47681827,19.10640838,19.34586934,20.31023572,18.95522109,18.79480203,19.05956738,19.77090703,19.82612725,19.43445075,19.38920124,20.6545056,20.14228862,19.65894975
3,1981,19.66709677,18.79903927,19.36319514,19.57655564,18.52441288,19.36320266,19.03650446,19.19792301,19.68170339,19.33961174,18.0149071,19.19432512,18.42072357,18.64978483,17.66935306,17.8276907,18.41422371,17.4641567,18.81217553,19.76754748,18.26220795,17.79684053,17.96619901,18.27319567,19.54652685,18.2955857,18.75514544,18.5698822,20.25043338,19.36648965
4,1981,17.27633333,16.32757587,17.33659318,16.70274113,15.41131781,16.5286091,17.60735579,16.94599779,17.56425609,17.09777216,16.27959671,17.06563996,16.65367734,16.41592201,15.74327718,15.9542893,16.55908484,17.23562424,15.84940384,17.05189962,15.82667287,17.09845853,16.43740499,16.73432818,17.47966157,16.5397663,16.44211871,17.19383215,17.29544221,17.95622614
5,1981,15.2883871,15.67373298,15.04559016,15.20170039,14.33324276,15.09160433,15.4713313,14.96437773,15.30714194,14.93994246,14.48602729,16.08350835,14.23188669,14.84726181,15.49800207,15.37734404,16.04154943,15.11854536,14.59636942,15.73211756,14.94159923,15.27438779,14.76640582,15.18079168,15.89072787,14.27162046,15.30541238,16.08330492,14.4194687,15.72998561
6,1981,14.03366667,12.64100902,13.28278241,14.40391235,12.50937993,13.41616869,14.37113363,12.92974338,14.21751345,12.95160344,14.61595164,15.18663992,13.45291769,12.96056535,14.23079176,13.98094205,13.26406744,13.66220279,15.32290084,14.6722797,14.6196962,13.97999052,12.84198881,13.58820343,14.71010714,12.9409725,13.25787458,13.82534625,14.25384083,12.36725075
7,1981,13.63741935,11.88934219,12.9339006,13.26156687,12.30620482,13.25221138,11.23223935,13.69258008,12.57427718,14.45932382,14.88938397,12.95943868,12.20980941,13.4246322,12.61798352,13.42623787,12.93147408,12.85977154,13.83281773,13.45147944,13.2856912,13.65146371,12.32020024,12.14891269,11.47627779,10.92433966,12.59729697,10.80071866,13.45522553,13.13527733
8,1981,14.06516129,13.62479071,12.46831006,15.01807229,13.90740825,13.6204764,13.98441239,11.7702416,12.96937087,14.74329329,14.73701165,14.13874661,14.67278804,11.98268062,14.15130579,14.51336841,14.36068443,13.14049655,15.21143305,13.88898075,12.95294762,14.02341388,13.45274384,15.55269364,14.21544938,13.53419394,14.29791136,14.92274326,13.55141484,11.17107083
9,1981,15.19166667,15.93866743,13.98414152,15.73477951,14.13416102,14.59432313,14.55230909,14.47598201,16.32440024,15.91203234,16.9170731,14.48308167,16.51054308,14.40161753,15.54356512,15.69533946,16.8187831,15.45370345,15.01858172,15.3032936,15.52514452,15.5360136,13.86006569,16.46110325,15.40962043,15.2642916,14.67360008,13.74447226,16.29410479,15.40618498
10,1981,15.37290323,14.53265091,16.8318708,16.04619153,15.90730138,15.8057813,17.99819582,16.70640868,16.39736149,16.46986083,15.70950871,16.20107356,17.96685984,15.55378018,16.19965653,16.39328697,16.53382358,17.55285194,16.20002101,15.44703358,16.57383832,16.91217319,16.45524361,16.84090162,16.47541484,16.76564831,16.97036185,15.75415007,15.33901055,15.83664778
